title,slug,language,artifact_type,retrieval_url,evidence_url,immutable_ref,status,notes
Business Ethics,business-ethics,en,official_git_snapshot,https://github.com/openstax/osbooks-business-ethics/archive/d64573e2807a1e7ba5d7dec8c36cd815a942b5c7.tar.gz,https://github.com/openstax/osbooks-business-ethics/blob/d64573e2807a1e7ba5d7dec8c36cd815a942b5c7/collections/business-ethics.collection.xml,d64573e2807a1e7ba5d7dec8c36cd815a942b5c7,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Chemistry,chemistry,en,official_versioned_web_book,https://openstax.org/books/chemistry/pages/preface,https://openstax.org/books/chemistry/pages/preface,85abf193-2bd2-4908-8563-90b8a7ac8df6@741a7af,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Chemistry 2e,chemistry-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-chemistry-bundle/archive/32c719622fbb7a0ca729cd645c1df4cf4e7d5b3a.tar.gz,https://github.com/openstax/osbooks-chemistry-bundle/blob/32c719622fbb7a0ca729cd645c1df4cf4e7d5b3a/collections/chemistry-2e.collection.xml,32c719622fbb7a0ca729cd645c1df4cf4e7d5b3a,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Chemistry: Atoms First,chemistry-atoms-first,en,official_versioned_web_book,https://openstax.org/books/chemistry-atoms-first/pages/preface,https://openstax.org/books/chemistry-atoms-first/pages/preface,4539ae23-1ccc-421e-9b25-843acbb6c4b0@741a7af,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Chemistry: Atoms First 2e,chemistry-atoms-first-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-chemistry-bundle/archive/32c719622fbb7a0ca729cd645c1df4cf4e7d5b3a.tar.gz,https://github.com/openstax/osbooks-chemistry-bundle/blob/32c719622fbb7a0ca729cd645c1df4cf4e7d5b3a/collections/chemistry-atoms-first-2e.collection.xml,32c719622fbb7a0ca729cd645c1df4cf4e7d5b3a,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
College Algebra,college-algebra,en,official_versioned_web_book,https://openstax.org/books/college-algebra/pages/preface,https://openstax.org/books/college-algebra/pages/preface,9b08c294-057f-4201-9f48-5d6ad992740d@ebc5beb,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
College Algebra 2e,college-algebra-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-college-algebra-bundle/archive/4922e46ebc04326979e19392ccc2384cb8b9076c.tar.gz,https://github.com/openstax/osbooks-college-algebra-bundle/blob/4922e46ebc04326979e19392ccc2384cb8b9076c/collections/college-algebra-2e.collection.xml,4922e46ebc04326979e19392ccc2384cb8b9076c,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
College Algebra with Corequisite Support,college-algebra-corequisite-support,en,official_versioned_web_book,https://openstax.org/books/college-algebra-corequisite-support/pages/preface,https://openstax.org/books/college-algebra-corequisite-support/pages/preface,507feb1e-cfff-4b54-bc07-d52636cecfe3@ebc5beb,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
College Algebra with Corequisite Support 2e,college-algebra-corequisite-support-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-college-algebra-bundle/archive/4922e46ebc04326979e19392ccc2384cb8b9076c.tar.gz,https://github.com/openstax/osbooks-college-algebra-bundle/blob/4922e46ebc04326979e19392ccc2384cb8b9076c/collections/college-algebra-corequisite-support-2e.collection.xml,4922e46ebc04326979e19392ccc2384cb8b9076c,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
College Physics,college-physics,en,official_versioned_web_book,https://openstax.org/books/college-physics/pages/preface,https://openstax.org/books/college-physics/pages/preface,031da8d3-b525-429c-80cf-6c8ed997733a@1aa3e7a,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
College Physics 2e,college-physics-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-college-physics-bundle/archive/f98d7a792138a6133fe7267d17e70aa04e9ccbed.tar.gz,https://github.com/openstax/osbooks-college-physics-bundle/blob/f98d7a792138a6133fe7267d17e70aa04e9ccbed/collections/college-physics-2e.collection.xml,f98d7a792138a6133fe7267d17e70aa04e9ccbed,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
College Physics for AP® Courses,college-physics-ap-courses,en,official_versioned_web_book,https://openstax.org/books/college-physics-ap-courses/pages/preface,https://openstax.org/books/college-physics-ap-courses/pages/preface,8d04a686-d5e8-4798-a27d-c608e4d0e187@1aa3e7a,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
College Physics for AP® Courses 2e,college-physics-ap-courses-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-college-physics-bundle/archive/f98d7a792138a6133fe7267d17e70aa04e9ccbed.tar.gz,https://github.com/openstax/osbooks-college-physics-bundle/blob/f98d7a792138a6133fe7267d17e70aa04e9ccbed/collections/college-physics-ap-courses-2e.collection.xml,f98d7a792138a6133fe7267d17e70aa04e9ccbed,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
College Success,college-success,en,official_git_snapshot,https://github.com/openstax/osbooks-college-success-bundle/archive/4c04b87eb2753872c2d442fe9736859ddb27bb72.tar.gz,https://github.com/openstax/osbooks-college-success-bundle/blob/4c04b87eb2753872c2d442fe9736859ddb27bb72/collections/college-success.collection.xml,4c04b87eb2753872c2d442fe9736859ddb27bb72,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
College Success Concise,college-success-concise,en,official_git_snapshot,https://github.com/openstax/osbooks-college-success-bundle/archive/4c04b87eb2753872c2d442fe9736859ddb27bb72.tar.gz,https://github.com/openstax/osbooks-college-success-bundle/blob/4c04b87eb2753872c2d442fe9736859ddb27bb72/collections/college-success-concise.collection.xml,4c04b87eb2753872c2d442fe9736859ddb27bb72,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Concepts of Biology,concepts-biology,en,official_git_snapshot,https://github.com/openstax/osbooks-biology-bundle/archive/d2779c2edfb435e75047325434fe2fe93d5aa120.tar.gz,https://github.com/openstax/osbooks-biology-bundle/blob/d2779c2edfb435e75047325434fe2fe93d5aa120/collections/concepts-biology.collection.xml,d2779c2edfb435e75047325434fe2fe93d5aa120,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Contemporary Mathematics,contemporary-mathematics,en,official_git_snapshot,https://github.com/openstax/osbooks-contemporary-mathematics/archive/fa7c1a151783958fd2c114da66831e3d57ce2321.tar.gz,https://github.com/openstax/osbooks-contemporary-mathematics/blob/fa7c1a151783958fd2c114da66831e3d57ce2321/collections/contemporary-mathematics.collection.xml,fa7c1a151783958fd2c114da66831e3d57ce2321,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Elementary Algebra,elementary-algebra,en,official_versioned_web_book,https://openstax.org/books/elementary-algebra/pages/preface,https://openstax.org/books/elementary-algebra/pages/preface,0889907c-f0ef-496a-bcb8-2a5bb121717f@eb2e29d,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Elementary Algebra 2e,elementary-algebra-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-prealgebra-bundle/archive/77a933c672e9c48c746eb802d588a9a7ddfd6e0d.tar.gz,https://github.com/openstax/osbooks-prealgebra-bundle/blob/77a933c672e9c48c746eb802d588a9a7ddfd6e0d/collections/elementary-algebra-2e.collection.xml,77a933c672e9c48c746eb802d588a9a7ddfd6e0d,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Entrepreneurship,entrepreneurship,en,official_git_snapshot,https://github.com/openstax/osbooks-entrepreneurship/archive/c1fa2c872ba07dc864c3aeb5a510b08b4f657288.tar.gz,https://github.com/openstax/osbooks-entrepreneurship/blob/c1fa2c872ba07dc864c3aeb5a510b08b4f657288/collections/entrepreneurship.collection.xml,c1fa2c872ba07dc864c3aeb5a510b08b4f657288,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Foundations of Information Systems,foundations-information-systems,en,official_git_snapshot,https://github.com/openstax/osbooks-foundations-information-systems/archive/2959814de655db6018ed461aaa65b53616b94af2.tar.gz,https://github.com/openstax/osbooks-foundations-information-systems/blob/2959814de655db6018ed461aaa65b53616b94af2/collections/foundations-information-systems.collection.xml,2959814de655db6018ed461aaa65b53616b94af2,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Intermediate Algebra,intermediate-algebra,en,official_versioned_web_book,https://openstax.org/books/intermediate-algebra/pages/preface,https://openstax.org/books/intermediate-algebra/pages/preface,02776133-d49d-49cb-bfaa-67c7f61b25a1@eb2e29d,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Intermediate Algebra 2e,intermediate-algebra-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-prealgebra-bundle/archive/77a933c672e9c48c746eb802d588a9a7ddfd6e0d.tar.gz,https://github.com/openstax/osbooks-prealgebra-bundle/blob/77a933c672e9c48c746eb802d588a9a7ddfd6e0d/collections/intermediate-algebra-2e.collection.xml,77a933c672e9c48c746eb802d588a9a7ddfd6e0d,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Introduction to Anthropology,introduction-anthropology,en,official_git_snapshot,https://github.com/openstax/osbooks-introduction-anthropology/archive/f0f11fc382e1f8974f2b961d512369ac87d27e32.tar.gz,https://github.com/openstax/osbooks-introduction-anthropology/blob/f0f11fc382e1f8974f2b961d512369ac87d27e32/collections/introduction-anthropology.collection.xml,f0f11fc382e1f8974f2b961d512369ac87d27e32,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Introduction to Business,introduction-business,en,official_versioned_web_book,https://openstax.org/books/introduction-business/pages/preface,https://openstax.org/books/introduction-business/pages/preface,4e09771f-a8aa-40ce-9063-aa58cc24e77f@9d3b8c4,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Introduction to Intellectual Property,introduction-intellectual-property,en,official_git_snapshot,https://github.com/openstax/osbooks-introduction-intellectual-property/archive/6dad5479f5a7974df9a2dcb01f4ce9a970658029.tar.gz,https://github.com/openstax/osbooks-introduction-intellectual-property/blob/6dad5479f5a7974df9a2dcb01f4ce9a970658029/collections/introduction-intellectual-property.collection.xml,6dad5479f5a7974df9a2dcb01f4ce9a970658029,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Introduction to Philosophy,introduction-philosophy,en,official_git_snapshot,https://github.com/openstax/osbooks-introduction-philosophy/archive/d7bd4f0f520529b3ad83272448a9c2be25c9040a.tar.gz,https://github.com/openstax/osbooks-introduction-philosophy/blob/d7bd4f0f520529b3ad83272448a9c2be25c9040a/collections/introduction-philosophy.collection.xml,d7bd4f0f520529b3ad83272448a9c2be25c9040a,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Introduction to Political Science,introduction-political-science,en,official_git_snapshot,https://github.com/openstax/osbooks-introduction-political-science/archive/4391e659b98eec43b71e8b3f08241215fb4dd4c4.tar.gz,https://github.com/openstax/osbooks-introduction-political-science/blob/4391e659b98eec43b71e8b3f08241215fb4dd4c4/collections/introduction-political-science.collection.xml,4391e659b98eec43b71e8b3f08241215fb4dd4c4,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Introduction to Python Programming,introduction-python-programming,en,official_git_snapshot,https://github.com/openstax/osbooks-introduction-python-programming/archive/2825b114221917bea5ae328a94e484b4da8a93ca.tar.gz,https://github.com/openstax/osbooks-introduction-python-programming/blob/2825b114221917bea5ae328a94e484b4da8a93ca/collections/introduction-python-programming.collection.xml,2825b114221917bea5ae328a94e484b4da8a93ca,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Introduction to Sociology 2e,introduction-sociology-2e,en,official_versioned_web_book,https://openstax.org/books/introduction-sociology-2e/pages/preface,https://openstax.org/books/introduction-sociology-2e/pages/preface,02040312-72c8-441e-a685-20e9333f3e1d@247752b,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Introduction to Sociology 3e,introduction-sociology-3e,en,official_git_snapshot,https://github.com/openstax/osbooks-introduction-sociology/archive/d35d5f3bdac40f93607d600134865d4f13ce1f9b.tar.gz,https://github.com/openstax/osbooks-introduction-sociology/blob/d35d5f3bdac40f93607d600134865d4f13ce1f9b/collections/introduction-sociology-3e.collection.xml,d35d5f3bdac40f93607d600134865d4f13ce1f9b,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Introductory Business Statistics,introductory-business-statistics,en,official_versioned_web_book,https://openstax.org/books/introductory-business-statistics/pages/preface,https://openstax.org/books/introductory-business-statistics/pages/preface,b56bb9e9-5eb8-48ef-9939-88b1b12ce22f@1d23970,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Introductory Business Statistics 2e,introductory-business-statistics-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-introductory-statistics-bundle/archive/50ec91749080bb040b57bb40c34337cacc994cba.tar.gz,https://github.com/openstax/osbooks-introductory-statistics-bundle/blob/50ec91749080bb040b57bb40c34337cacc994cba/collections/introductory-business-statistics-2e.collection.xml,50ec91749080bb040b57bb40c34337cacc994cba,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Introductory Statistics,introductory-statistics,en,official_versioned_web_book,https://openstax.org/books/introductory-statistics/pages/preface,https://openstax.org/books/introductory-statistics/pages/preface,30189442-6998-4686-ac05-ed152b91b9de@1d23970,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Introductory Statistics 2e,introductory-statistics-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-introductory-statistics-bundle/archive/50ec91749080bb040b57bb40c34337cacc994cba.tar.gz,https://github.com/openstax/osbooks-introductory-statistics-bundle/blob/50ec91749080bb040b57bb40c34337cacc994cba/collections/introductory-statistics-2e.collection.xml,50ec91749080bb040b57bb40c34337cacc994cba,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
"Life, Liberty, and the Pursuit of Happiness",life-liberty-and-pursuit-happiness,en,official_git_snapshot,https://github.com/openstax/osbooks-life-liberty-and-pursuit-happiness/archive/acb6fbe2744dd112187b6aff5946cfe969410fca.tar.gz,https://github.com/openstax/osbooks-life-liberty-and-pursuit-happiness/blob/acb6fbe2744dd112187b6aff5946cfe969410fca/collections/life-liberty-and-pursuit-happiness.collection.xml,acb6fbe2744dd112187b6aff5946cfe969410fca,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Lifespan Development,lifespan-development,en,official_git_snapshot,https://github.com/openstax/osbooks-lifespan-development/archive/2a3fbff4504dd90fa2728ff06a27c23a36e6b88d.tar.gz,https://github.com/openstax/osbooks-lifespan-development/blob/2a3fbff4504dd90fa2728ff06a27c23a36e6b88d/collections/lifespan-development.collection.xml,2a3fbff4504dd90fa2728ff06a27c23a36e6b88d,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Microbiology,microbiology,en,official_git_snapshot,https://github.com/openstax/osbooks-microbiology/archive/ecf34dad129d686703780e87ab5aa2e59c577a6a.tar.gz,https://github.com/openstax/osbooks-microbiology/blob/ecf34dad129d686703780e87ab5aa2e59c577a6a/collections/microbiology.collection.xml,ecf34dad129d686703780e87ab5aa2e59c577a6a,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Nutrition for Nurses,nutrition,en,official_git_snapshot,https://github.com/openstax/osbooks-nursing-external-bundle/archive/f0124920c65609137effe2333dea327d1c77accc.tar.gz,https://github.com/openstax/osbooks-nursing-external-bundle/blob/f0124920c65609137effe2333dea327d1c77accc/collections/nutrition.collection.xml,f0124920c65609137effe2333dea327d1c77accc,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Organizational Behavior,organizational-behavior,en,official_git_snapshot,https://github.com/openstax/osbooks-principles-of-management-bundle/archive/a995241fbc161854a1fab15bdd3bec3f98dfd64b.tar.gz,https://github.com/openstax/osbooks-principles-of-management-bundle/blob/a995241fbc161854a1fab15bdd3bec3f98dfd64b/collections/organizational-behavior.collection.xml,a995241fbc161854a1fab15bdd3bec3f98dfd64b,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Pharmacology for Nurses,pharmacology,en,official_git_snapshot,https://github.com/openstax/osbooks-nursing-external-bundle/archive/f0124920c65609137effe2333dea327d1c77accc.tar.gz,https://github.com/openstax/osbooks-nursing-external-bundle/blob/f0124920c65609137effe2333dea327d1c77accc/collections/pharmacology.collection.xml,f0124920c65609137effe2333dea327d1c77accc,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Physics,physics,en,official_git_snapshot,https://github.com/openstax/osbooks-physics/archive/dfdfd7a5356ecdd42e504de3df50d9153e33ea49.tar.gz,https://github.com/openstax/osbooks-physics/blob/dfdfd7a5356ecdd42e504de3df50d9153e33ea49/collections/physics.collection.xml,dfdfd7a5356ecdd42e504de3df50d9153e33ea49,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Population Health for Nurses,population-health,en,official_git_snapshot,https://github.com/openstax/osbooks-nursing-external-bundle/archive/f0124920c65609137effe2333dea327d1c77accc.tar.gz,https://github.com/openstax/osbooks-nursing-external-bundle/blob/f0124920c65609137effe2333dea327d1c77accc/collections/population-health.collection.xml,f0124920c65609137effe2333dea327d1c77accc,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Prealgebra,prealgebra,en,official_versioned_web_book,https://openstax.org/books/prealgebra/pages/preface,https://openstax.org/books/prealgebra/pages/preface,caa57dab-41c7-455e-bd6f-f443cda5519c@eb2e29d,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Prealgebra 2e,prealgebra-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-prealgebra-bundle/archive/77a933c672e9c48c746eb802d588a9a7ddfd6e0d.tar.gz,https://github.com/openstax/osbooks-prealgebra-bundle/blob/77a933c672e9c48c746eb802d588a9a7ddfd6e0d/collections/prealgebra-2e.collection.xml,77a933c672e9c48c746eb802d588a9a7ddfd6e0d,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Precalculus,precalculus,en,official_versioned_web_book,https://openstax.org/books/precalculus/pages/preface,https://openstax.org/books/precalculus/pages/preface,fd53eae1-fa23-47c7-bb1b-972349835c3c@ebc5beb,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Precalculus 2e,precalculus-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-college-algebra-bundle/archive/4922e46ebc04326979e19392ccc2384cb8b9076c.tar.gz,https://github.com/openstax/osbooks-college-algebra-bundle/blob/4922e46ebc04326979e19392ccc2384cb8b9076c/collections/precalculus-2e.collection.xml,4922e46ebc04326979e19392ccc2384cb8b9076c,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Preparing for College Success,preparing-for-college-success,en,official_git_snapshot,https://github.com/openstax/osbooks-college-success-bundle/archive/4c04b87eb2753872c2d442fe9736859ddb27bb72.tar.gz,https://github.com/openstax/osbooks-college-success-bundle/blob/4c04b87eb2753872c2d442fe9736859ddb27bb72/collections/preparing-for-college-success.collection.xml,4c04b87eb2753872c2d442fe9736859ddb27bb72,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Principles of Data Science,principles-data-science,en,official_git_snapshot,https://github.com/openstax/osbooks-principles-data-science/archive/e9fbc64ccb92f58f1cefe526e49a69854a681805.tar.gz,https://github.com/openstax/osbooks-principles-data-science/blob/e9fbc64ccb92f58f1cefe526e49a69854a681805/collections/principles-data-science.collection.xml,e9fbc64ccb92f58f1cefe526e49a69854a681805,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Principles of Economics,principles-economics,en,official_fixed_pdf,https://assets.openstax.org/oscms-prodcms/media/documents/PrinciplesofEconomics-OP.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/PrinciplesofEconomics-OP.pdf,sha256:377b9d2baf34b01b0ca4eeef78e3b97b916eac5e13c518fbe2907026fe75a92e,ready,Official fixed PDF front matter expressly identifies CC BY 4.0; hash immediately after download.
Principles of Economics 2e,principles-economics-2e,en,official_versioned_web_book,https://openstax.org/books/principles-economics-2e/pages/preface,https://openstax.org/books/principles-economics-2e/pages/preface,bc498e1f-efe9-43a0-8dea-d3569ad09a82@a6dd6c5,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Principles of Economics 3e,principles-economics-3e,en,official_git_snapshot,https://github.com/openstax/osbooks-principles-economics-bundle/archive/020e54dbecb376f27b37c3498f9347a45961c11a.tar.gz,https://github.com/openstax/osbooks-principles-economics-bundle/blob/020e54dbecb376f27b37c3498f9347a45961c11a/collections/principles-economics-3e.collection.xml,020e54dbecb376f27b37c3498f9347a45961c11a,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Principles of Finance,principles-finance,en,official_git_snapshot,https://github.com/openstax/osbooks-principles-finance/archive/3b7fc65c527ef51dbee24689691f19947fb72fb2.tar.gz,https://github.com/openstax/osbooks-principles-finance/blob/3b7fc65c527ef51dbee24689691f19947fb72fb2/collections/principles-finance.collection.xml,3b7fc65c527ef51dbee24689691f19947fb72fb2,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
